Country Name,2009,2010,2011,2012,2013,2014
St. Vincent and the Grenadines,6177.610514,6231.770232,6183.676822,6338.117781,6597.211381,6650.061128
"Venezuela, RB",11536.14939,13545.20584,10741.57638,12755.00008,12237.22406,15692.41288
British Virgin Islands,,,,,,
Virgin Islands (U.S.),38771.27439,40043.19017,39144.16577,37849.72872,34837.65873,33591.63546
Vietnam,1210.69111,1310.370273,1515.479925,1722.683931,1871.325491,2012.04629
Vanuatu,2643.441423,2965.802434,3275.091684,3158.58688,3167.343056,3148.365103
World,8784.246212,9513.326152,10446.26289,10548.58817,10715.29731,10871.17755
Samoa,3035.068269,3453.434298,3942.051645,4234.640751,4219.024862,4179.049934
Kosovo,3209.694109,3283.211938,3712.613666,3586.15377,3877.031087,4054.721339
"Yemen, Rep.",1093.812918,1309.23196,1349.42025,1420.842721,1580.181601,1647.033657
South Africa,5831.115574,7275.382112,7976.466077,7478.225699,6822.164389,6437.877976
Zambia,1139.110233,1463.213573,1644.619672,1734.930612,1850.793359,1738.088202
Zimbabwe,624.2722425,719.979517,840.9498799,968.1638715,1026.388289,1031.104616
